qid10,qid20,qid30,qid40,qid50,qid60,qid70,qid80,qid90,qid100,qid110,score0,score1,score2,score3,score4,score5,score6
3,4,2,3,2,4,4,2,3,3,3,72,18,36,35.5,40,33.34,0
3,3,2,2,2,4,4,2,3,3,2,75,10,0,43.5,20,16.67,0
3,4,4,5,3,4,5,4,4,4,3,65,36,18,21.5,20,58.34,20
4,4,4,4,4,4,4,4,4,4,4,60,54,46,51.5,0,41.67,70
5,3,2,4,2,4,4,2,4,5,3,53,46,18,30,0,16.67,20
5,3,4,4,4,5,4,5,4,4,2,68,46,46,38.5,40,25,60
5,5,3,3,4,4,4,5,4,5,2,58,72,54,21.5,20,16.67,40
4,3,4,4,3,4,4,5,3,4,2,60,28,28,65,0,41.67,50
5,5,4,4,4,4,4,2,4,5,3,83,18,18,13,0,8.33,80
5,4,4,4,4,4,4,5,4,5,2,70,54,36,34.5,0,25,60
5,5,4,2,4,4,4,5,4,5,2,78,18,46,25.5,0,25,60
5,5,4,4,4,4,5,3,5,5,2,90,18,18,13,0,25,90
5,4,4,4,4,4,4,3,3,5,2,57,54,64,52.5,0,25,60
3,5,5,4,5,4,5,2,4,5,3,63,18,28,13,40,25,40
5,3,5,4,5,4,4,5,4,5,2,68,46,18,30,20,25,20
5,4,4,3,3,4,4,5,3,3,3,67,72,54,52.5,20,41.67,20
5,4,4,4,3,4,4,5,4,5,2,70,36,36,17.5,0,25,40
4,3,4,5,4,5,4,3,4,3,3,58,28,28,42.5,40,25,50
4,3,4,4,4,5,4,5,3,5,3,75,10,0,56.5,40,25,70
4,5,4,4,4,4,4,3,4,3,3,83,18,0,38.5,0,25,90
5,5,4,3,3,4,4,2,3,5,3,70,36,36,39.5,20,41.67,40
5,5,4,3,4,4,4,5,3,5,2,70,36,36,48,20,41.67,60
5,4,4,4,4,5,4,5,4,5,2,55,72,36,43,40,25,60
4,3,4,2,4,4,4,4,4,5,3,58,46,0,51,0,8.33,50
4,5,4,2,4,4,4,5,4,3,2,73,36,0,42.5,0,8.33,70
4,5,3,2,3,4,4,2,4,5,3,73,18,46,17,0,16.67,30
5,5,4,4,4,4,4,3,3,5,3,60,54,18,56.5,0,41.67,80
3,3,2,2,2,4,4,5,3,5,2,40,46,28,60.5,20,33.34,0
4,4,4,3,4,4,4,5,4,3,2,70,36,36,34.5,20,25,50
4,5,4,4,4,4,4,2,5,4,2,85,18,28,30,0,8.33,100
4,5,4,3,4,4,4,5,4,4,3,83,18,18,30,20,25,70
5,5,4,4,5,4,5,3,3,5,3,70,36,18,39.5,0,8.33,60
5,4,4,4,3,5,4,5,4,3,3,60,54,64,34.5,40,41.67,40
4,5,4,4,4,4,4,3,3,5,3,80,18,0,56.5,0,25,90
4,5,4,4,4,4,4,2,4,4,3,93,0,0,21.5,0,8.33,90
5,3,4,4,5,5,4,5,3,5,3,45,46,46,56.5,40,41.67,40
5,5,4,4,4,4,4,5,3,5,3,70,54,18,56.5,0,25,80
4,5,4,4,4,4,4,2,4,4,3,93,0,0,21.5,0,8.33,90
5,3,4,3,4,4,4,5,4,5,2,53,46,64,38.5,20,41.67,40
5,5,4,4,5,4,5,3,3,3,2,75,36,46,39.5,0,8.33,60
5,5,3,4,4,4,4,5,4,4,2,83,54,36,13,0,0,60
4,5,2,2,4,4,4,3,4,5,2,73,0,0,17,0,0,50
5,3,4,4,4,5,4,5,3,5,3,60,46,46,56.5,40,25,60
5,5,4,2,4,4,4,5,4,3,3,68,36,18,34,0,25,60
4,4,4,4,4,4,5,5,4,4,3,70,36,46,34.5,0,8.33,70
4,3,3,3,4,4,4,5,5,5,2,60,46,36,38.5,20,50.01,40
5,5,4,4,5,4,4,3,4,5,4,78,36,46,21.5,0,8.33,60
5,3,4,4,5,4,4,3,4,3,4,83,28,18,21.5,0,8.33,40
5,3,4,4,4,4,5,4,3,5,2,75,46,18,48,0,8.33,60
5,5,4,2,5,4,4,3,3,5,3,50,36,46,52,0,25,40
4,3,4,4,4,4,4,5,3,5,2,70,10,28,56.5,0,25,70
5,3,4,4,4,4,4,2,4,3,4,73,46,18,30,0,25,60
5,5,4,4,4,4,4,2,3,5,4,70,36,18,48,0,25,80
5,3,4,4,4,4,4,3,4,5,2,68,46,46,30,0,8.33,60
4,5,4,4,4,4,4,5,4,4,2,88,0,0,30,0,25,90
5,5,5,5,4,5,4,5,4,4,3,63,36,46,8.5,60,8.33,40
5,5,4,3,4,4,4,3,3,5,3,60,36,64,48,20,41.67,60
5,5,4,3,4,4,5,3,4,3,2,78,36,36,30,20,41.67,60
3,3,4,4,5,5,5,5,4,4,2,78,28,0,30,60,25,40
5,4,4,3,4,4,4,5,4,3,3,75,54,54,26,20,25,40
4,5,4,4,4,4,4,5,4,3,3,93,0,0,21.5,0,8.33,90
5,3,5,2,2,5,4,2,4,5,3,53,46,18,42.5,60,25,0
4,3,4,4,4,4,4,5,4,4,3,83,28,0,38.5,0,8.33,70
5,3,4,4,2,4,5,4,4,5,3,78,28,18,30,0,8.33,40
5,3,3,3,3,5,4,5,4,5,2,38,82,54,30,60,50.01,0
5,5,3,2,5,4,4,2,4,4,3,53,72,64,25.5,0,16.67,20
5,5,3,4,2,4,4,5,4,3,2,58,72,36,38.5,0,33.34,40
4,5,4,3,4,4,4,2,4,5,3,73,18,18,30,20,25,70
3,5,4,4,5,5,4,5,3,3,2,50,36,28,56.5,60,58.34,60
4,5,4,4,5,4,4,2,4,3,5,83,0,0,21.5,0,8.33,70
4,3,4,2,4,4,4,5,3,3,3,70,46,28,69,0,8.33,50
4,5,3,3,4,4,4,5,4,4,3,83,18,36,13,20,16.67,50
5,3,4,4,4,4,4,5,4,4,3,83,28,46,21.5,0,8.33,60
5,3,4,5,4,4,4,2,4,4,4,78,46,18,25.5,0,8.33,40
4,5,4,4,5,4,4,5,4,5,2,83,0,28,21.5,0,8.33,70
5,3,4,4,4,4,5,5,4,3,3,78,46,46,38.5,0,25,60
5,3,4,4,5,4,4,3,5,4,3,70,46,46,38.5,0,25,50
5,3,5,4,5,4,4,3,3,4,2,45,64,46,56.5,20,25,20
4,3,4,4,4,4,5,3,4,3,3,73,28,28,38.5,0,8.33,70
5,5,4,4,4,4,4,2,3,5,3,75,36,18,39.5,0,8.33,80
5,5,4,4,3,4,4,2,4,4,5,88,18,18,13,0,25,60
4,5,4,4,4,4,5,5,5,3,3,100,0,0,21.5,0,8.33,100
5,3,4,2,2,5,4,5,3,5,3,45,46,46,69,40,25,20
5,3,4,4,4,4,4,3,4,3,2,78,28,46,30,0,25,60
4,5,4,5,4,4,4,5,4,4,3,73,18,0,34,0,41.67,70
4,5,4,4,4,4,4,3,3,4,3,85,0,28,39.5,0,8.33,90
5,4,4,3,4,5,4,5,4,5,2,45,54,82,34.5,60,58.34,40
4,5,4,3,4,4,4,5,4,3,3,78,18,18,38.5,20,41.67,70
4,3,4,4,4,4,4,2,4,4,4,73,28,28,38.5,0,8.33,70
5,5,4,3,5,4,4,2,4,3,3,78,36,36,21.5,20,25,40
4,3,4,4,4,4,4,4,5,4,3,85,28,0,38.5,0,8.33,80
3,5,5,4,5,4,4,3,4,3,3,83,0,0,4.5,40,25,40
5,5,4,4,4,4,4,3,4,5,3,68,36,46,30,0,41.67,80
5,3,2,2,2,4,4,5,4,5,3,68,28,18,25.5,0,0,0
5,5,4,4,4,4,4,5,4,4,2,78,36,46,30,0,25,80
5,5,4,4,5,4,4,3,4,3,3,88,18,46,13,0,8.33,60
4,4,4,4,5,4,4,5,4,5,3,55,36,46,43,0,25,50
5,3,4,5,2,5,4,2,4,4,3,58,46,46,34,40,8.33,20
4,3,4,3,4,4,4,5,3,3,3,65,28,18,56.5,20,25,50
5,5,4,5,4,4,4,2,4,3,4,93,18,18,8.5,0,8.33,60
4,5,4,4,3,5,4,2,4,4,3,73,18,0,30,40,25,70
4,4,4,4,3,5,4,5,4,3,3,55,36,46,43,40,41.67,50
5,3,4,2,2,4,4,5,4,5,3,68,46,18,42.5,0,8.33,20
5,4,4,5,4,5,4,5,3,5,3,52,54,64,48,40,25,40
4,3,4,4,3,4,4,2,4,4,4,63,28,28,38.5,0,25,50
3,5,4,4,4,4,4,5,4,3,2,78,18,28,21.5,20,25,80
4,3,4,2,4,4,4,5,4,3,2,78,28,28,42.5,0,8.33,50
4,5,4,4,2,4,4,5,4,4,3,78,18,0,47,0,25,70
4,5,4,5,4,4,4,2,4,3,4,88,0,0,17,0,8.33,70
4,3,4,4,4,4,4,5,4,5,3,73,28,0,38.5,0,8.33,70
4,5,4,3,4,4,4,2,3,5,3,75,0,18,39.5,20,25,70
4,4,4,4,4,5,4,5,4,4,2,65,36,18,43,40,25,70
5,5,5,4,4,4,5,3,5,5,2,65,36,18,21.5,20,25,70
4,5,4,4,4,4,4,5,4,4,3,83,18,0,30,0,8.33,90
4,3,4,4,3,4,4,5,3,3,3,60,28,28,65,0,41.67,50
4,5,4,4,3,4,5,5,4,3,3,78,18,28,30,0,25,70
5,3,4,5,3,5,5,2,5,3,5,50,46,46,34,40,58.34,30
4,5,4,4,4,4,4,5,5,3,2,90,0,0,21.5,0,8.33,100
3,5,4,4,4,4,4,5,4,5,3,73,18,0,30,20,41.67,80
5,5,4,4,5,4,4,5,3,3,3,80,36,46,39.5,0,8.33,60
5,3,4,3,5,4,4,3,4,5,3,58,46,36,38.5,20,41.67,20
5,3,4,4,3,4,5,2,3,3,3,80,46,18,48,0,25,40
5,5,4,4,5,4,4,5,4,3,2,78,36,18,21.5,0,8.33,60
5,3,3,4,4,4,4,5,4,5,3,68,64,36,21.5,0,0,40
5,3,3,5,2,4,4,3,4,3,3,53,82,36,42.5,0,16.67,0
4,5,3,3,4,4,4,5,4,5,2,78,36,36,21.5,20,16.67,50
5,3,4,2,2,4,4,5,3,5,3,65,46,18,60.5,0,8.33,20
5,3,4,4,4,4,4,3,3,3,2,65,46,46,56.5,0,25,60
5,4,4,3,4,4,4,5,4,3,3,55,54,82,26,20,41.67,40
5,5,4,4,4,5,4,2,4,3,3,83,36,46,21.5,40,8.33,80
4,3,4,5,3,4,4,2,4,3,4,68,28,0,34,0,25,30
5,3,5,3,5,5,5,3,4,3,3,48,46,36,30,80,58.34,0
5,3,4,3,4,4,4,3,3,5,3,60,46,64,56.5,20,41.67,40
4,3,4,3,2,4,4,5,3,3,3,70,28,18,65,20,25,30
5,5,4,2,4,4,4,5,4,4,3,83,36,18,25.5,0,8.33,60
5,3,4,4,4,4,4,2,4,3,3,73,46,18,30,0,25,60
4,3,5,5,5,4,4,5,5,4,4,65,28,0,25.5,20,8.33,20
4,3,4,4,3,4,5,5,5,5,3,70,28,0,47,0,41.67,60
3,3,2,4,5,5,4,5,3,4,3,50,28,28,48,60,50.01,20
4,3,4,3,4,4,4,5,5,4,3,70,28,18,47,20,41.67,60
5,4,4,4,4,5,4,3,4,4,3,60,54,64,26,40,8.33,60
4,5,4,2,2,4,4,5,4,5,2,68,36,0,51,0,8.33,50
4,3,4,4,4,4,4,5,4,3,3,78,28,0,38.5,0,8.33,70
5,5,4,4,5,4,4,5,4,3,3,73,54,18,30,0,8.33,60
4,3,4,4,4,4,4,3,3,4,3,85,28,0,56.5,0,8.33,70
5,3,4,4,4,5,4,5,4,3,3,63,64,46,38.5,40,8.33,60
5,5,4,4,4,4,4,3,4,3,3,78,54,18,30,0,8.33,80
5,3,4,4,4,4,5,2,4,5,3,78,46,18,30,0,8.33,60
5,5,4,2,4,4,4,2,4,5,3,73,18,46,17,0,8.33,60
4,3,4,4,4,4,4,2,5,4,5,90,10,0,30,0,8.33,80
5,3,4,5,5,4,5,3,4,4,2,73,46,18,25.5,0,8.33,20
5,5,2,2,2,4,4,5,4,3,2,83,18,18,17,0,0,20
4,3,4,4,4,5,4,5,4,4,3,73,28,0,38.5,40,8.33,70
5,5,4,4,5,4,5,5,4,5,3,68,18,46,21.5,0,25,60
5,3,4,4,4,4,4,5,3,4,3,70,46,46,48,0,25,60
4,3,4,4,4,4,5,3,4,4,2,78,28,28,38.5,0,8.33,70
4,5,4,4,4,4,4,5,3,5,2,80,18,0,48,0,8.33,90
5,4,3,2,3,5,4,3,4,5,2,45,54,82,21.5,40,33.34,0
5,5,4,2,5,5,4,5,4,5,3,48,36,46,34,40,25,40
5,3,4,4,5,4,4,5,5,4,2,65,64,46,47,0,25,50
3,3,4,5,4,4,4,5,5,3,2,75,46,0,42.5,20,41.67,50
5,5,4,4,5,4,4,3,4,5,3,83,18,18,13,0,8.33,60
4,4,4,4,4,4,4,5,5,3,3,67,36,46,43,0,25,80
5,4,4,3,4,4,4,2,4,5,4,40,72,82,43,20,58.34,40
4,5,4,4,4,5,4,5,4,3,3,73,18,28,38.5,40,25,90
5,3,2,2,2,5,4,5,3,3,3,35,46,46,60.5,40,33.34,0
4,5,4,3,3,4,4,3,5,5,3,60,36,18,47,20,58.34,60
5,3,5,5,5,4,4,3,4,5,3,48,64,18,25.5,20,8.33,0
4,5,4,2,2,4,4,5,3,5,3,70,18,0,60.5,0,8.33,50
5,5,4,2,5,5,5,2,4,4,3,40,26.66,12.5,24.99,40,8.33,40
5,5,4,4,3,4,4,2,3,4,3,60,13.33,12.5,29.17,0,25,60
5,5,4,2,4,4,4,5,3,4,2,60,13.33,12.5,33.33,0,8.33,60
4,5,4,3,5,4,4,2,5,4,3,60,0,37.5,20.83,20,25,60
4,5,4,2,4,4,4,5,5,5,2,80,0,0,24.99,0,8.33,80
4,5,4,2,4,4,4,5,3,4,2,70,0,0,41.66,0,8.33,70
5,2,4,2,4,4,4,2,3,4,4,40,20,12.5,41.66,0,8.33,40
4,2,4,4,4,4,4,2,5,4,4,80,20,25,37.49,0,8.33,80
5,5,4,4,4,4,4,2,4,4,4,80,13.33,12.5,12.5,0,8.33,80
5,5,4,2,5,4,4,2,4,5,2,40,26.66,37.5,24.99,0,8.33,40
5,5,2,2,2,4,4,2,3,4,4,20,26.66,12.5,41.66,0,0,20
5,5,5,4,4,4,4,5,4,4,3,60,26.66,12.5,20.83,20,25,60
5,3,4,4,2,5,4,5,4,4,2,40,66.66,62.5,49.99,40,41.67,40
4,5,4,4,4,4,5,2,4,4,3,90,26.66,0,37.49,0,8.33,90
4,5,5,4,4,4,4,2,3,4,3,70,0,0,29.17,20,8.33,70
4,2,4,5,3,4,4,3,5,4,2,40,6.67,25,24.99,0,25,40
5,2,2,3,4,4,4,2,4,5,3,20,46.66,25,29.16,20,16.67,20
4,2,4,4,4,5,4,5,4,4,2,70,6.67,0,37.49,40,25,70
4,2,2,2,2,4,4,5,3,4,2,10,6.67,0,49.99,0,0,10
5,2,4,2,5,5,4,5,3,4,2,20,33.33,37.5,49.99,40,8.33,20
5,5,3,3,4,4,4,2,4,5,3,40,39.99,37.5,12.5,20,16.67,40
5,5,4,2,4,4,4,5,3,4,2,60,13.33,37.5,33.33,0,8.33,60
5,5,5,4,5,4,4,2,4,5,4,40,13.33,12.5,12.5,20,25,40
4,5,4,5,5,4,4,2,4,5,4,50,13.33,0,24.99,0,8.33,50
5,5,5,5,5,5,5,5,5,5,5,30,13.33,12.5,0,60,8.33,30
4,2,4,4,4,4,4,5,3,5,3,70,20,0,54.16,0,8.33,70
5,5,4,5,4,4,4,2,4,4,4,60,26.66,37.5,16.66,0,8.33,60
4,5,4,3,4,5,4,3,3,4,4,70,13.33,37.5,54.16,60,41.67,70
5,5,4,4,4,5,4,2,4,4,4,80,13.33,12.5,12.5,40,8.33,80
4,5,4,5,3,4,4,2,4,4,5,50,0,0,16.66,0,25,50
5,2,5,5,5,4,4,2,4,4,4,0,20,12.5,8.33,20,25,0
4,5,4,2,4,4,5,2,4,4,3,70,13.33,0,33.32,0,8.33,70
4,5,4,2,4,4,4,5,5,4,2,80,0,0,24.99,0,8.33,80
3,4,3,3,3,4,4,4,3,4,3,0,26.66,37.5,25.01,40,66.68,0
5,5,3,3,5,4,4,2,4,4,5,20,39.99,37.5,12.5,20,16.67,20
4,5,4,4,4,4,4,2,5,4,3,100,0,0,20.83,0,8.33,100
4,5,4,4,4,4,4,5,5,5,2,100,13.33,0,29.16,0,8.33,100
5,5,4,3,4,4,5,3,4,4,3,60,13.33,25,12.5,20,25,60
5,2,5,4,5,4,4,5,4,4,2,20,33.33,12.5,20.83,20,8.33,20
5,5,4,4,4,4,4,5,4,4,3,80,26.66,12.5,29.16,0,25,80
5,5,4,3,5,4,5,3,5,5,3,50,26.66,25,29.16,20,41.67,50
5,4,4,4,4,4,4,5,3,5,2,60,26.66,25,33.34,0,8.33,60
4,2,4,3,4,4,4,5,3,5,2,50,33.33,12.5,70.82,20,41.67,50
5,5,4,5,5,4,5,2,4,4,4,40,26.66,12.5,16.66,0,8.33,40
5,3,2,4,5,5,4,5,3,5,4,20,40,62.5,25.01,40,0,20
4,2,4,4,4,4,4,5,4,4,2,70,20,0,37.49,0,25,70
5,5,4,4,2,4,4,2,5,4,4,70,13.33,12.5,20.83,0,8.33,70
5,4,4,4,4,4,4,5,3,5,2,60,26.66,25,33.34,0,8.33,60
5,5,4,4,2,4,4,2,5,4,4,70,13.33,12.5,20.83,0,8.33,70
5,5,4,4,4,4,4,2,4,4,4,80,26.66,12.5,29.16,0,25,80
4,5,4,4,4,4,4,5,4,5,2,90,0,0,29.16,0,25,90
5,5,3,4,4,4,4,3,4,4,3,60,26.66,25,4.17,0,0,60
5,2,4,4,2,4,4,5,3,4,2,40,33.33,37.5,62.49,0,25,40
5,2,4,4,4,4,4,5,4,4,3,60,33.33,12.5,37.49,0,41.67,60
4,5,4,4,3,4,4,5,3,4,3,70,13.33,0,45.83,0,25,70
3,5,5,3,5,4,4,2,3,4,3,20,0,12.5,20.84,60,41.67,20
5,2,5,4,5,4,4,3,4,4,4,20,33.33,12.5,20.83,20,8.33,20
5,4,4,4,4,4,4,2,4,5,3,60,39.99,25,33.33,0,25,60
4,5,4,3,4,5,4,5,3,4,2,70,13.33,12.5,45.83,60,25,70
3,2,4,4,4,4,4,5,3,4,2,60,6.67,25,37.5,20,25,60
5,5,3,3,5,4,4,5,4,4,2,20,39.99,37.5,12.5,20,16.67,20
3,3,5,5,2,4,4,5,4,4,2,0,40,25,29.16,40,41.67,0
4,5,4,4,4,4,4,5,4,4,3,90,13.33,0,37.49,0,25,90
5,5,4,4,4,4,4,5,4,4,2,80,39.99,37.5,29.16,0,8.33,80
3,2,2,3,2,5,4,5,4,5,3,0,20,12.5,37.49,80,66.68,0
5,4,4,5,3,4,4,2,3,4,3,20,39.99,25,37.5,0,25,20
5,2,3,4,5,4,4,2,4,5,3,20,46.66,25,20.83,0,0,20
4,5,4,4,4,4,4,2,5,4,4,100,0,0,20.83,0,8.33,100
5,5,3,3,5,4,4,5,4,4,2,20,39.99,37.5,12.5,20,16.67,20
4,5,4,4,4,4,4,5,5,4,3,100,13.33,0,29.16,0,8.33,100
5,2,4,3,4,4,4,3,4,5,3,40,33.33,25,29.16,20,25,40
5,4,3,3,2,4,4,2,3,5,3,0,53.32,50,50,20,33.34,0
3,3,5,5,2,4,4,5,4,4,2,0,40,25,29.16,40,41.67,0
5,5,4,4,4,4,4,3,4,4,2,80,13.33,12.5,20.83,0,25,80
5,5,4,4,4,4,4,5,4,4,2,80,39.99,37.5,29.16,0,8.33,80
4,2,4,3,4,4,4,3,4,5,3,50,20,12.5,37.49,20,25,50
4,2,4,4,3,4,4,2,4,4,3,50,33.33,25,45.82,0,25,50
5,5,3,3,4,4,4,5,4,4,2,40,39.99,37.5,12.5,20,16.67,40
5,2,4,4,3,4,4,5,5,4,3,50,33.33,37.5,37.49,0,41.67,50
5,5,4,3,4,4,4,4,3,5,3,60,26.66,50,37.5,20,25,60
5,5,4,5,5,4,4,2,4,4,4,40,13.33,12.5,8.33,0,25,40
4,2,4,4,3,4,4,2,4,4,3,50,33.33,25,45.82,0,25,50
4,2,4,3,4,4,4,3,4,5,3,50,20,12.5,37.49,20,25,50
5,5,3,3,4,4,4,5,4,4,2,40,39.99,37.5,12.5,20,16.67,40
5,2,4,4,2,4,4,5,4,4,3,40,33.33,37.5,45.82,0,25,40
5,5,4,3,4,4,4,4,3,5,3,60,26.66,50,37.5,20,25,60
5,5,5,2,2,4,5,2,3,4,3,20,26.66,12.5,41.66,20,8.33,20
4,5,4,4,4,5,4,3,3,4,3,90,13.33,25,45.83,40,8.33,90
4,3,4,4,4,4,4,5,5,4,2,80,26.67,25,25,0,8.33,80
5,2,4,4,2,4,4,5,4,4,3,40,33.33,37.5,45.82,0,25,40
4,2,4,4,4,5,4,3,4,4,2,70,20,0,37.49,40,8.33,70
5,4,4,4,3,4,4,5,4,4,3,40,39.99,50,33.33,0,58.34,40
4,3,4,4,4,4,4,5,5,4,2,80,26.67,25,25,0,8.33,80
4,2,4,2,2,4,4,5,4,4,2,30,20,0,49.98,0,8.33,30
5,5,4,4,4,4,5,5,3,4,2,80,39.99,37.5,45.83,0,8.33,80
5,5,4,4,5,4,4,5,3,5,3,60,26.66,12.5,37.5,0,8.33,60
5,2,4,2,5,4,4,2,4,5,2,20,20,12.5,24.99,0,8.33,20
4,5,4,4,4,4,4,2,4,4,3,90,13.33,0,29.16,0,8.33,90
5,3,3,5,3,5,4,2,4,4,3,0,53.33,75,4.17,40,16.67,0
4,2,4,4,2,4,4,3,4,4,3,50,6.67,25,37.49,0,8.33,50
5,5,4,3,5,4,4,5,4,5,3,40,26.66,25,29.16,20,41.67,40
